,minimum,maximum
HOXG_c,0.0,1.3162753094205187e-12
CHLPAS_h,2.9704573395874634e-13,1.348461042302493e-12
TRPS1_c,0.0,4.840974181994226e-14
SERTL_m,0.0,0.0
SERTL_c,0.0,7.188813609507711e-13
ASNTL_m,0.0,0.0
GACT_h,1.8921634850571313e-11,6.72232763056649e-14
NPDPS_m,0.0,6.792051033286599e-13
NPDPS_c,0.0,-1.2256386437005346e-12
DHPS_m,0.0,3.8057221717525625e-12
IMPHL_1_h,0.0,8.267620247471033e-12
IMPHL_2_h,0.0,8.726609345647789e-12
ASL_c,-8.521524102102921e-13,2.0162934916860887e-11
MPBQMT_h,0.0,1.4147232020172758e-11
TRPS2_c,0.0,7.034919916882205e-14
ACN_a_m,5.43405968837036e-12,0.0
ACN_b_m,0.0,2.364463344675299e-11
GLK_c,0.0,0.0
PFK_c,0.0,1.9437342829328064e-11
PGL_c,0.0,6.996969860152172e-11
EDD_c,0.0,1.123099576808996e-11
EDA_m,0.0,1.7357623523828964e-11
RUBISC_h,0.0,8.016372786085764e-12
IDH_m,0.0,1.4826348531649524e-11
IDH_c,0.0,1.779740325608346e-12
ARG_m,0.0,1.6739277335495695e-11
ARG_c,0.0,1.052184058455461e-11
GLUDH_m,2.4686169110780144e-11,1.5626966017029143e-11
GLUDH_c,-10000.0,1.8189894035458565e-11
GLUDH2_c,0.0,10000.000000000031
P5CDH_c,0.0,5.0389416570701346e-11
ORNC_c,0.0,1.790612998351944e-11
AGAS_c,0.0,2.7668058759633664e-11
AGPR_h,-3.2418334987377225e-12,1.8076533447885773e-11
UREASE_m,0.0,1.2334607347392597e-11
G5K_c,0.0,2.5731910636861675e-11
PRO4H_c,0.0,0.0
SERA_m,0.0,1666.6666666667093
SERA_c,0.0,9.072137475643107e-12
PSAT_m,0.0,1666.6666666666906
HSDH_h,1.0351996003712804e-10,4.0848370189555936e-11
HSDH_m,5.551115123125801e-13,1.1109194359453325e-11
HSDH_c,6.579217768593479e-11,7.402890968359885e-11
HSK_c,0.0,1.0294341474807426e-11
THRS_c,0.0,4.668876812151175e-12
DAPDC_h,0.0,5.372887128816027e-12
PAPSR_h,0.0,2.4371324421115678e-12
HSAT_m,1.1596227569950745e-12,-4.831966452267467e-12
ASNAL_c,0.0,2.982499500626191e-11
ASNA_c,0.0,1.8394939777946346e-11
PRADP_c,0.0,3.6450242346353756e-12
PRAMPCH_c,0.0,4.556974766565686e-12
IGPDH_c,0.0,4.556974766565685e-12
IAPTA_c,0.0,4.556974766565686e-12
HPP_c,0.0,4.556974766565685e-12
ALPL_h,0.0,4.430008902045009e-12
ALPL_c,0.0,0.0
POXAAT_h,-1.2660686954142695e-12,1.981524550019785e-11
BCTAI_h,-1.2660686954142695e-12,8.322013540442457e-12
BCTAI_m,0.0,-1.2893260414770002e-12
BCTAI_c,0.0,0.0
BCTAL_h,0.0,0.0
BCTAL_m,8.752984510603242e-12,9.501409501697121e-27
BCTAL_c,0.0,0.0
PPHTA_h,0.0,1.7578997270084235e-12
PHEH_c,0.0,-7.517254249194823e-13
HTHBDH_m,0.0,2.301097168029537e-12
THBPOX_m,0.0,2.301097168029537e-12
CHRL_h,0.0,3.680532653425831e-12
CHRL_c,0.0,3.797483476477814e-12
PRAI_c,0.0,3.5162673918776418e-12
IGPS_m,0.0,9.035832036330637e-14
GTPCH_c,0.0,3.9797174417990096e-12
SR_c,0.0,0.0
FACOAL_140_c,0.0,1.3065421746392858e-11
FACOAL_161_9Z_c,0.0,2.014241999798079e-11
FACOAL_162_9Z12Z_c,1.4545232993239018e-13,1.7363803765308272e-11
FACOAL_163_6Z9Z12Z_c,2.294476230731747e-12,1.5163434410918714e-11
ETHAK_c,0.0,1.4090633332474946e-11
PETHMT_c,8.469949437547068e-13,1.0051985366451176e-11
PETHDMT_c,1.0668310653097165e-12,-2.1769728905024675e-12
PETHTMT_c,1.0668310653097165e-12,-2.1769728905024675e-12
PCHOLCT_c,0.0,-4.9519265942185515e-12
MI3PP_c,0.0,1.8515882389516086e-11
G1PUT_h,0.0,4.6504968483641104e-12
G1PUT_c,0.0,1.3465512487160217e-12
UGP_PGM_h,0.0,5.444910698431299e-12
UGP_PGM_c,0.0,7.0581064559541414e-12
FCYTOB5OXR_c,-7.023448650543391e-12,2.24789574465275e-12
COA181_9Z_9DS_c,0.0,1.8527869104613884e-12
FACOAL205_c,0.0,6.759839070223113e-12
FACOAL226_c,0.0,2.1252334969098524e-11
G3PAT140_c,8.266498693708669e-13,3.65107161527629e-12
G3PAT160_c,0.0,3.141976766970312e-12
G3PAT1619Z_c,0.0,4.419599412609134e-12
G3PAT180_c,1.3127129212788948e-14,7.468708996194658e-12
G3PAT1819Z_c,0.0,4.646504013990184e-12
G3PAT2055Z8Z11Z14Z17Z_c,0.0,6.468091448074087e-12
G3PAT2264Z7Z10Z13Z16Z19Z_c,2.906464928243777e-14,6.553141325579963e-12
AGPATCOA_MYRS_MYRS_c,0.0,1.2554424700293461e-11
AGPATCOA_MYRS_PALM_c,0.0,2.1448102432362e-12
AGPATCOA_MYRS_HDE_c,0.0,9.109052330891687e-13
AGPATCOA_MYRS_STC_c,0.0,2.936166425991187e-11
AGPATCOA_MYRS_OLE_c,0.0,6.332457668571407e-12
AGPATCOA_MYRS_EPA_c,0.0,4.841012961502216e-12
AGPATCOA_MYRS_DHA_c,0.0,3.283996405281171e-12
AGPATCOA_PALM_MYRS_c,0.0,9.93876142771326e-12
AGPATCOA_PALM_PALM_h,0.0,0.0
AGPATCOA_PALM_PALM_c,0.0,4.75199111578126e-12
AGPATCOA_PALM_HDE_c,0.0,2.9306638002950774e-12
AGPATCOA_PALM_STC_c,0.0,1.4900848313971966e-12
AGPATCOA_PALM_OLE_c,0.0,4.074313374877388e-12
AGPATCOA_PALM_EPA_c,0.0,5.4804888420708635e-12
AGPATCOA_PALM_DHA_c,0.0,-5.812362634405244e-12
AGPATCOA_HDE_MYRS_c,0.0,-3.1074886371872087e-12
AGPATCOA_HDE_PALM_c,0.0,5.027703139440063e-12
AGPATCOA_HDE_HDE_c,0.0,7.683008447525988e-12
AGPATCOA_HDE_STC_c,0.0,3.46864269938383e-12
AGPATCOA_HDE_OLE_c,0.0,1.70588301472408e-12
AGPATCOA_HDE_EPA_c,0.0,4.313600164925113e-12
AGPATCOA_HDE_DHA_c,0.0,5.141419034509207e-12
AGPATCOA_STC_MYRS_c,0.0,5.3520880806146045e-12
AGPATCOA_STC_PALM_c,0.0,6.130106380840819e-12
AGPATCOA_STC_HDE_c,0.0,4.625981338304334e-12
AGPATCOA_STC_STC_c,0.0,3.892784390035992e-12
AGPATCOA_STC_OLE_c,0.0,2.8101607483474497e-12
AGPATCOA_STC_EPA_c,0.0,2.2028599357811592e-12
AGPATCOA_STC_DHA_c,0.0,3.729476274705376e-12
AGPATCOA_OLE_MYRS_c,0.0,5.639250686277297e-12
AGPATCOA_OLE_PALM_c,0.0,9.117805562759461e-12
AGPATCOA_OLE_HDE_c,0.0,1.1267451142412619e-11
AGPATCOA_OLE_STC_c,0.0,4.299675120672004e-12
AGPATCOA_OLE_OLE_c,0.0,6.166329449304075e-12
AGPATCOA_OLE_EPA_c,0.0,4.353403238945327e-12
AGPATCOA_OLE_DHA_c,0.0,3.4814360653634354e-12
AGPATCOA_EPA_MYRS_c,0.0,9.959676723335949e-12
AGPATCOA_EPA_PALM_c,0.0,2.099008486099684e-11
AGPATCOA_EPA_HDE_c,0.0,7.071212171463245e-12
AGPATCOA_EPA_STC_c,0.0,9.151341744062838e-12
AGPATCOA_EPA_OLE_c,0.0,1.1480442152018233e-12
AGPATCOA_EPA_EPA_c,0.0,1.2842899348196145e-11
AGPATCOA_EPA_DHA_c,0.0,5.788525879506082e-12
AGPATCOA_DHA_MYRS_c,0.0,5.896532798067164e-12
AGPATCOA_DHA_PALM_c,0.0,5.9973819732667436e-12
AGPATCOA_DHA_HDE_c,0.0,2.07021094789645e-12
AGPATCOA_DHA_STC_c,0.0,2.207986254886621e-12
